station,line,latitude,longitude,postcode
Tempelhof,U6,52.4708,13.3854,12099
Ullsteinstraße,U6,52.453775,13.384302777,12099
Warschauer Straße,U1,52.505788888,13.449733333,10243
Warschauer Straße,S7,52.505788888,13.449733333,10243
Wedding,U6,52.5425,13.3661,13347
Weinmeisterstraße,,52.525833333,13.403888888,10178
Westhafen,U9,52.536,13.344,10559
Westhafen,U6,52.536,13.344,10559
Wuhletal,U5,52.5126,13.5752,12619
Wutzkyallee,U7,52.423333333,13.475,12353
Yorckstraße,U7,52.493055555,13.369722222,10965
Yorckstraße,U1,52.493055555,13.369722222,10965
Zoologischer Garten,U9,52.5075,13.33417,
Zoologischer Garten,U7,52.5075,13.33417,
Zoologischer Garten,U1,52.5075,13.33417,
Zoologischer Garten,U2,52.5075,13.33417,
Zoologischer Garten,U3,52.5075,13.33417,
